state_type,n,k,ensemble,mean_empirical_var,max_empirical_var,theory_var_bound,mean_sample_complexity,max_sample_complexity,mean_abs_bias,num_observables
ghz,2,1,clifford,5.182041991824597,5.478260869565191,12.0,518.2041991824595,547.826086956519,0.10277777777777773,6
ghz,2,1,pauli,2.996956521739129,3.280033444816055,3.0,299.69565217391283,328.00334448160544,0.049999999999999996,6
ghz,2,1,seeqst,6.2853288740245405,10.481872909699057,,628.5328874024541,1048.1872909699055,0.045555555555555564,6
ghz,2,2,clifford,4.363619472315116,5.412207357859547,12.0,436.3619472315115,541.2207357859546,0.09999999999999999,6
ghz,2,2,pauli,9.133946488294313,10.706086956521819,9.0,913.394648829431,1070.6086956521817,0.27999999999999997,6
ghz,2,2,seeqst,7.684280936454859,9.406644370122672,,768.4280936454858,940.6644370122671,0.06000000000000016,6
ghz,3,1,clifford,6.397826086956524,9.73806020066889,24.0,639.7826086956522,973.8060200668889,0.08999999999999993,6
ghz,3,1,pauli,3.1498662207357904,3.3185618729097013,3.0,314.986622073579,331.85618729097007,0.09666666666666664,6
ghz,3,1,seeqst,12.509044964697127,20.502831661092596,,1250.9044964697125,2050.283166109259,0.2688888888888889,6
ghz,3,2,clifford,7.908411371237452,8.938896321070214,24.0,790.8411371237452,893.8896321070212,0.07166666666666661,6
ghz,3,2,pauli,8.233193979933096,9.207090301003346,9.0,823.3193979933094,920.7090301003344,0.11833333333333335,6
ghz,3,2,seeqst,13.23519137866957,17.07808249721289,,1323.5191378669567,1707.8082497212886,0.21000000000000005,6
ghz,3,3,clifford,9.335016722408017,11.374314381270883,24.0,933.5016722408014,1137.431438127088,0.1266666666666666,6
ghz,3,3,pauli,30.58494983277588,41.4400334448157,27.0,3058.494983277588,4144.003344481569,0.22333333333333324,6
ghz,3,3,seeqst,14.331683389074726,23.790590858417044,,1433.1683389074724,2379.059085841704,0.17999999999999994,6
ghz,4,1,clifford,20.74818097361573,25.11754738015604,48.0,2074.8180973615727,2511.7547380156034,0.16055555555555537,6
ghz,4,1,pauli,3.040735785953179,3.170969899665541,3.0,304.0735785953179,317.0969899665541,0.08999999999999998,6
ghz,4,1,seeqst,33.975176514306774,51.26849498327743,,3397.517651430677,5126.8494983277415,0.1688888888888889,6
ghz,4,2,clifford,15.274256781865432,20.268662207357824,48.0,1527.425678186543,2026.866220735782,0.14166666666666652,6
ghz,4,2,pauli,9.075852842809363,11.084448160535128,9.0,907.5852842809362,1108.4448160535126,0.16999999999999993,6
ghz,4,2,seeqst,37.59613526570039,58.20931995540652,,3759.613526570038,5820.931995540651,0.2488888888888889,6
ghz,4,3,clifford,16.8669249349684,25.117547380156044,48.0,1686.6924934968395,2511.754738015604,0.1794444444444443,6
ghz,4,3,pauli,34.8679264214047,43.756254180602134,27.0,3486.7926421404695,4375.625418060213,0.23999999999999988,6
ghz,4,3,seeqst,34.137138610182,40.914336677814774,,3413.713861018199,4091.4336677814767,0.28444444444444444,6
ghz,4,4,clifford,18.16855258268299,27.011995540691174,48.0,1816.8552582682987,2701.199554069117,0.14166666666666652,6
ghz,4,4,pauli,91.14938127090245,175.25257525083515,81.0,9114.938127090245,17525.25752508351,0.4049999999999998,6
ghz,4,4,seeqst,38.18785581568181,58.11799331103659,,3818.7855815681796,5811.799331103658,0.19555555555555557,6
haar_random,2,1,clifford,4.754459308807115,5.166945373467086,12.0,475.4459308807114,516.6945373467084,0.19647197619846257,6
haar_random,2,1,pauli,2.530183946488298,2.823311036789305,3.0,253.01839464882974,282.33110367893045,0.08922250164342228,6
haar_random,2,1,seeqst,8.079554069119302,8.079554069119304,,807.95540691193,807.9554069119303,0.3064719761984627,6
haar_random,2,2,clifford,4.773364920104055,5.525083612040145,12.0,477.3364920104054,552.5083612040144,0.12502020734677072,6
haar_random,2,2,pauli,9.327341137123735,10.279866220735801,9.0,932.7341137123734,1027.9866220735798,0.11668531683844187,6
haar_random,2,2,seeqst,6.8002303976217044,8.379219620958755,,680.0230397621704,837.9219620958754,0.1305369053837803,6
haar_random,3,1,clifford,8.86259197324412,10.604949832775857,24.0,886.259197324412,1060.4949832775856,0.051682404484578115,6
haar_random,3,1,pauli,2.748946488294312,2.930167224080263,3.0,274.89464882943116,293.0167224080263,0.09706099093029726,6
haar_random,3,1,seeqst,7.977911557042002,19.346978818283294,,797.7911557041999,1934.697881828329,0.09419762504046512,6
