state_repeat,obs_repeat,state_type,ensemble,n,num_observables,n_sample,rmse,mean_variance,max_error
0,0,haar_random,pauli,3,64,1000,0.12170413080935798,14.652559825450426,0.41022100125834515
0,0,haar_random,pauli,3,64,5000,0.052316519102907334,14.368901587192394,0.1669297631511671
0,0,haar_random,pauli,3,64,10000,0.04007730864322922,14.344090163703353,0.12268437978247652
0,0,haar_random,pauli,3,64,15000,0.03068874243065658,14.329314257616588,0.09478437978247653
0,0,haar_random,pauli,3,64,20000,0.02814884988977154,14.415032741129098,0.08052976315116711
0,0,haar_random,pauli,3,64,25000,0.026129055007562064,14.44904056087325,0.06598437978247654
0,0,haar_random,pauli,3,64,30000,0.023820457020788763,14.446209366719096,0.06257431611936115
0,0,haar_random,pauli,3,64,35000,0.020208045360299087,14.467382603011767,0.049672620294024306
0,0,haar_random,pauli,3,64,40000,0.017765027774276465,14.467665172233637,0.04880476315116711
0,0,haar_random,pauli,3,64,45000,0.017218409106015645,14.480265050822911,0.039168307680676195
0,0,haar_random,pauli,3,64,50000,0.015970927464738455,14.464490020298696,0.03476817526751208
0,0,haar_random,pauli,3,64,55000,0.015208858196781952,14.472362285038074,0.03947528887338563
0,0,haar_random,pauli,3,64,60000,0.016324357495409465,14.474536754154812,0.03808437978247654
0,0,haar_random,pauli,3,64,65000,0.016064659316624007,14.47122287006996,0.037052790652127465
0,0,haar_random,pauli,3,64,70000,0.015427865370928329,14.469727369759102,0.034741522639619396
0,0,haar_random,pauli,3,64,75000,0.014651458973181845,14.482118429515559,0.04258437978247654
0,0,haar_random,pauli,3,64,80000,0.013514747799979883,14.488340345107513,0.041684379782476536
0,0,haar_random,pauli,3,64,85000,0.013133885948940377,14.491108103680702,0.04756085037071183
0,0,haar_random,pauli,3,64,90000,0.012631383532104683,14.485425042775859,0.04648437978247654
0,0,haar_random,pauli,3,64,95000,0.012224221514783695,14.485913278987544,0.04523701136142391
0,0,haar_random,pauli,3,64,100000,0.012107123773261539,14.48174558395205,0.04519437978247654
0,0,haar_random,clifford,3,64,1000,0.08745512273189793,8.903364020270242,0.2219245496771952
0,0,haar_random,clifford,3,64,5000,0.04237205446201719,8.883636162857544,0.12641305725923657
0,0,haar_random,clifford,3,64,10000,0.029487179734265696,8.87147887601255,0.0778130572592366
0,0,haar_random,clifford,3,64,15000,0.027256461297375197,8.864870147593109,0.05833852422993163
0,0,haar_random,clifford,3,64,20000,0.027532894403850167,8.86450417645862,0.06283852422993164
