state_repeat,obs_repeat,state_type,ensemble,n,m,num_observables,estimator,mom_num_groups,n_sample,rmse,max_error
0,0,haar_random,pauli,10,3,100,mean,1,10,0.028312920518680378,0.07580527671274584
0,0,haar_random,pauli,10,3,100,mean,1,30,0.028312920518680378,0.07580527671274584
0,0,haar_random,pauli,10,3,100,mean,1,100,0.02831292051868024,0.07580527671274584
0,0,haar_random,pauli,10,3,100,mean,1,300,19.684658598320517,196.84638304906912
0,0,haar_random,pauli,10,3,100,mean,1,1000,5.906605936132699,59.0653830490692
0,0,haar_random,pauli,10,3,100,mean,1,3000,2.7867684284107144,19.709463244987653
0,0,haar_random,pauli,10,3,100,mean,1,5000,1.673424412855076,11.836263244987656
0,0,haar_random,pauli,10,3,100,mean,1,10000,1.560011634373637,5.941166527705532
0,0,haar_random,pauli,10,3,100,mean,1,15000,1.1784735393817665,3.972866527705533
0,0,haar_random,pauli,10,3,100,mean,1,20000,0.9751148477369252,2.988716527705533
0,0,haar_random,pauli,10,3,100,mean,1,25000,1.0284800304408295,4.6836429929966465
0,0,haar_random,pauli,10,3,100,mean,1,30000,0.9647837692440352,2.0441052767127452
0,0,haar_random,clifford,10,3,100,mean,1,10,0.028312920518680243,0.07580527671274563
0,0,haar_random,clifford,10,3,100,mean,1,30,3.417658154431303,34.17540987833209
0,0,haar_random,clifford,10,3,100,mean,1,100,3.2412914323627513,10.297925332489203
0,0,haar_random,clifford,10,3,100,mean,1,300,1.566915030833472,6.827614042893046
0,0,haar_random,clifford,10,3,100,mean,1,1000,0.9636441165436522,4.062340593150723
0,0,haar_random,clifford,10,3,100,mean,1,3000,0.608963133142993,1.7277788105999263
0,0,haar_random,clifford,10,3,100,mean,1,5000,0.42900235772038164,0.8394454772665961
0,0,haar_random,clifford,10,3,100,mean,1,10000,0.29319443313020255,0.7089411581423356
0,0,haar_random,clifford,10,3,100,mean,1,15000,0.25938647693750816,0.6548394971213362
0,0,haar_random,clifford,10,3,100,mean,1,20000,0.21342618767796248,0.5724471912999625
0,0,haar_random,clifford,10,3,100,mean,1,25000,0.2025258258027005,0.5416971912999625
0,0,haar_random,clifford,10,3,100,mean,1,30000,0.1818798823974548,0.4186971912999631
0,0,haar_random,seeqst_uniform,10,3,100,mean,1,10,0.028312920518680378,0.07580527671274584
0,0,haar_random,seeqst_uniform,10,3,100,mean,1,30,9.654552934829525,68.27135880310912
0,0,haar_random,seeqst_uniform,10,3,100,mean,1,100,4.577245429873711,20.49980159366609
0,0,haar_random,seeqst_uniform,10,3,100,mean,1,300,2.7287929095010792,6.862933194372202
0,0,haar_random,seeqst_uniform,10,3,100,mean,1,1000,1.1766445328337365,2.085659406849266
0,0,haar_random,seeqst_uniform,10,3,100,mean,1,3000,0.9107060117547102,2.067445477266599
0,0,haar_random,seeqst_uniform,10,3,100,mean,1,5000,0.5800722776933372,1.2572938362119945
0,0,haar_random,seeqst_uniform,10,3,100,mean,1,10000,0.41010127859781603,1.0331363387020351
0,0,haar_random,seeqst_uniform,10,3,100,mean,1,15000,0.3136468333159362,0.8128835028165894
0,0,haar_random,seeqst_uniform,10,3,100,mean,1,20000,0.2670477036344993,0.6117844219571277
0,0,haar_random,seeqst_uniform,10,3,100,mean,1,25000,0.22545538127816814,0.7007099921919251
0,0,haar_random,seeqst_uniform,10,3,100,mean,1,30000,0.2202882285220557,0.577829992191925
