state_repeat,obs_repeat,state_type,ensemble,n,m,num_terms,num_observables,min_xy,rest_mode,coeff_dist,estimator,mom_num_groups,n_sample,rmse,max_error
0,0,haar_random,pauli,6,5,5,50,1,z,normal,mean,1,10,20.344470818587194,142.2926594404023
0,0,haar_random,pauli,6,5,5,50,1,z,normal,mean,1,30,7.198519357347148,47.38810944635577
0,0,haar_random,pauli,6,5,5,50,1,z,normal,mean,1,100,4.0956735683373005,10.509569636471557
0,0,haar_random,pauli,6,5,5,50,1,z,normal,mean,1,300,2.7452075220290717,6.630890036928663
0,0,haar_random,pauli,6,5,5,50,1,z,normal,mean,1,1000,1.701934664478563,4.38648484810069
0,0,haar_random,pauli,6,5,5,50,1,z,normal,mean,1,3000,1.0685337576619252,3.178525140958562
0,0,haar_random,pauli,6,5,5,50,1,z,normal,mean,1,4000,0.9675667627320926,2.9248682843170775
0,0,haar_random,pauli,6,5,5,50,1,z,normal,mean,1,5000,0.7760638866116459,2.038698461498802
0,0,haar_random,pauli,6,5,5,50,1,z,normal,mean,1,6000,0.7609220886942553,2.1148090571434555
0,0,haar_random,clifford,6,5,5,50,1,z,normal,mean,1,10,5.820341838899568,14.950323185045821
0,0,haar_random,clifford,6,5,5,50,1,z,normal,mean,1,30,3.7841296224815912,13.391780752239525
0,0,haar_random,clifford,6,5,5,50,1,z,normal,mean,1,100,2.114053526893333,6.551230071733122
0,0,haar_random,clifford,6,5,5,50,1,z,normal,mean,1,300,0.9518929501599779,2.361984719623473
0,0,haar_random,clifford,6,5,5,50,1,z,normal,mean,1,1000,0.5138788657186785,1.5957661094857016
0,0,haar_random,clifford,6,5,5,50,1,z,normal,mean,1,3000,0.24946790717702214,0.7312317123999537
0,0,haar_random,clifford,6,5,5,50,1,z,normal,mean,1,4000,0.2573807986804005,0.6631592994962381
0,0,haar_random,clifford,6,5,5,50,1,z,normal,mean,1,5000,0.22415496487674616,0.4793193294093915
0,0,haar_random,clifford,6,5,5,50,1,z,normal,mean,1,6000,0.2094211320773578,0.5103585467068475
0,0,haar_random,seeqst_uniform,6,5,5,50,1,z,normal,mean,1,10,8.975680707331843,30.167032612938407
0,0,haar_random,seeqst_uniform,6,5,5,50,1,z,normal,mean,1,30,3.6643900274259398,10.410442998245806
0,0,haar_random,seeqst_uniform,6,5,5,50,1,z,normal,mean,1,100,2.0995777641826,6.697426201592482
0,0,haar_random,seeqst_uniform,6,5,5,50,1,z,normal,mean,1,300,1.4656650175894501,6.54391411955339
0,0,haar_random,seeqst_uniform,6,5,5,50,1,z,normal,mean,1,1000,0.7881206233216689,2.969673940378685
0,0,haar_random,seeqst_uniform,6,5,5,50,1,z,normal,mean,1,3000,0.5567316369225404,1.2660805393475867
0,0,haar_random,seeqst_uniform,6,5,5,50,1,z,normal,mean,1,4000,0.41537830689510646,1.2316147897356595
0,0,haar_random,seeqst_uniform,6,5,5,50,1,z,normal,mean,1,5000,0.3815553562705801,1.2916203574583598
0,0,haar_random,seeqst_uniform,6,5,5,50,1,z,normal,mean,1,6000,0.34360590369591587,1.1146311639492241
0,0,haar_random,seeqst_binomial_tuned,6,5,5,50,1,z,normal,mean,1,10,3.2340333684913927,14.285811755138317
0,0,haar_random,seeqst_binomial_tuned,6,5,5,50,1,z,normal,mean,1,30,1.412442593410829,4.13026610865222
0,0,haar_random,seeqst_binomial_tuned,6,5,5,50,1,z,normal,mean,1,100,2.1804387663277276,8.414521497327124
0,0,haar_random,seeqst_binomial_tuned,6,5,5,50,1,z,normal,mean,1,300,3.73751895816471,18.72250029313732
0,0,haar_random,seeqst_binomial_tuned,6,5,5,50,1,z,normal,mean,1,1000,1.603488120701122,7.367862278191545
0,0,haar_random,seeqst_binomial_tuned,6,5,5,50,1,z,normal,mean,1,3000,2.575950109746393,11.788328526913087
0,0,haar_random,seeqst_binomial_tuned,6,5,5,50,1,z,normal,mean,1,4000,2.623778751746023,9.041880017579954
0,0,haar_random,seeqst_binomial_tuned,6,5,5,50,1,z,normal,mean,1,5000,2.1203205830430125,6.736338895507107
0,0,haar_random,seeqst_binomial_tuned,6,5,5,50,1,z,normal,mean,1,6000,1.8007987115932038,5.785598536528034
0,1,haar_random,pauli,6,5,5,50,1,z,normal,mean,1,10,21.622928201030625,133.5097716057247
0,1,haar_random,pauli,6,5,5,50,1,z,normal,mean,1,30,13.676930350054212,57.58632949259043
0,1,haar_random,pauli,6,5,5,50,1,z,normal,mean,1,100,6.07707993370357,19.786843954567924
0,1,haar_random,pauli,6,5,5,50,1,z,normal,mean,1,300,2.7579694209281307,6.93951250472238
0,1,haar_random,pauli,6,5,5,50,1,z,normal,mean,1,1000,1.9293262873953374,4.869765187454901
0,1,haar_random,pauli,6,5,5,50,1,z,normal,mean,1,3000,1.2020002350264607,2.8810039180208804
0,1,haar_random,pauli,6,5,5,50,1,z,normal,mean,1,4000,1.1439069300517082,3.5771453278842036
0,1,haar_random,pauli,6,5,5,50,1,z,normal,mean,1,5000,1.019538737473982,3.5078653107200846
0,1,haar_random,pauli,6,5,5,50,1,z,normal,mean,1,6000,0.9093107308111396,2.9404076533370405
0,1,haar_random,clifford,6,5,5,50,1,z,normal,mean,1,10,5.931213705929786,19.49550837102314
0,1,haar_random,clifford,6,5,5,50,1,z,normal,mean,1,30,3.321010586630561,8.567580548535554
0,1,haar_random,clifford,6,5,5,50,1,z,normal,mean,1,100,2.057771721986745,5.361704776772928
0,1,haar_random,clifford,6,5,5,50,1,z,normal,mean,1,300,1.0634686631670782,2.8607046895501846
0,1,haar_random,clifford,6,5,5,50,1,z,normal,mean,1,1000,0.555130212883165,1.4551080595829384
0,1,haar_random,clifford,6,5,5,50,1,z,normal,mean,1,3000,0.39150041653382034,0.9744389880545521
0,1,haar_random,clifford,6,5,5,50,1,z,normal,mean,1,4000,0.34474811866469834,0.9116499571664528
0,1,haar_random,clifford,6,5,5,50,1,z,normal,mean,1,5000,0.3146359186239234,0.7902690255305784
0,1,haar_random,clifford,6,5,5,50,1,z,normal,mean,1,6000,0.27966825016137153,0.7480629254546788
0,1,haar_random,seeqst_uniform,6,5,5,50,1,z,normal,mean,1,10,8.591601828740302,33.23078432416079
0,1,haar_random,seeqst_uniform,6,5,5,50,1,z,normal,mean,1,30,4.021986038966973,11.26088113127221
0,1,haar_random,seeqst_uniform,6,5,5,50,1,z,normal,mean,1,100,3.1326105008033394,8.248987152454417
0,1,haar_random,seeqst_uniform,6,5,5,50,1,z,normal,mean,1,300,1.604270973849307,5.251800944772357
0,1,haar_random,seeqst_uniform,6,5,5,50,1,z,normal,mean,1,1000,0.8389143028129118,2.408785253714873
0,1,haar_random,seeqst_uniform,6,5,5,50,1,z,normal,mean,1,3000,0.5632155663254451,1.8658813824988711
0,1,haar_random,seeqst_uniform,6,5,5,50,1,z,normal,mean,1,4000,0.4584251062674863,1.4302487954304135
0,1,haar_random,seeqst_uniform,6,5,5,50,1,z,normal,mean,1,5000,0.3670194417721914,1.3904693164341615
0,1,haar_random,seeqst_uniform,6,5,5,50,1,z,normal,mean,1,6000,0.36047252196876073,1.247414856783363
0,1,haar_random,seeqst_binomial_tuned,6,5,5,50,1,z,normal,mean,1,10,6.290948612505137,32.08432004514719
0,1,haar_random,seeqst_binomial_tuned,6,5,5,50,1,z,normal,mean,1,30,3.566946285861742,22.078195518395557
0,1,haar_random,seeqst_binomial_tuned,6,5,5,50,1,z,normal,mean,1,100,3.1267948420638723,13.23627827598482
0,1,haar_random,seeqst_binomial_tuned,6,5,5,50,1,z,normal,mean,1,300,4.642242395664458,29.566965319276353
0,1,haar_random,seeqst_binomial_tuned,6,5,5,50,1,z,normal,mean,1,1000,2.5635124252943817,8.884194687199983
0,1,haar_random,seeqst_binomial_tuned,6,5,5,50,1,z,normal,mean,1,3000,3.146144178277496,19.14631566241093
0,1,haar_random,seeqst_binomial_tuned,6,5,5,50,1,z,normal,mean,1,4000,2.9953071608542445,14.403734150220345
0,1,haar_random,seeqst_binomial_tuned,6,5,5,50,1,z,normal,mean,1,5000,2.403251336842295,11.577779554908632
0,1,haar_random,seeqst_binomial_tuned,6,5,5,50,1,z,normal,mean,1,6000,2.00880104294254,9.72646701137189
0,2,haar_random,pauli,6,5,5,50,1,z,normal,mean,1,10,14.727955904635753,104.13248738429095
0,2,haar_random,pauli,6,5,5,50,1,z,normal,mean,1,30,8.833772635849442,35.04617523778095
0,2,haar_random,pauli,6,5,5,50,1,z,normal,mean,1,100,5.140735110348551,19.030985007633426
0,2,haar_random,pauli,6,5,5,50,1,z,normal,mean,1,300,3.2415978435101382,9.820347093635345
0,2,haar_random,pauli,6,5,5,50,1,z,normal,mean,1,1000,1.8466000584837172,4.752863969323449
0,2,haar_random,pauli,6,5,5,50,1,z,normal,mean,1,3000,1.2552582446371714,5.207630360478791
0,2,haar_random,pauli,6,5,5,50,1,z,normal,mean,1,4000,0.9258023386413161,3.619142384086871
0,2,haar_random,pauli,6,5,5,50,1,z,normal,mean,1,5000,0.8052199445864512,2.5992525053399884
0,2,haar_random,pauli,6,5,5,50,1,z,normal,mean,1,6000,0.842867030233633,3.431838674234361
0,2,haar_random,clifford,6,5,5,50,1,z,normal,mean,1,10,6.248592350986676,17.9768585701372
0,2,haar_random,clifford,6,5,5,50,1,z,normal,mean,1,30,3.57037491240701,9.866337342392193
0,2,haar_random,clifford,6,5,5,50,1,z,normal,mean,1,100,2.0094351387432154,4.83880409315002
0,2,haar_random,clifford,6,5,5,50,1,z,normal,mean,1,300,0.9526428843355997,2.42960081161395
0,2,haar_random,clifford,6,5,5,50,1,z,normal,mean,1,1000,0.5679249023972766,1.5178083126070265
0,2,haar_random,clifford,6,5,5,50,1,z,normal,mean,1,3000,0.38937681080260894,1.172946495323297
0,2,haar_random,clifford,6,5,5,50,1,z,normal,mean,1,4000,0.30507712093649525,0.8500489010385339
0,2,haar_random,clifford,6,5,5,50,1,z,normal,mean,1,5000,0.31841710002587476,0.8592451501639635
0,2,haar_random,clifford,6,5,5,50,1,z,normal,mean,1,6000,0.27793589268239194,0.9142870489195183
0,2,haar_random,seeqst_uniform,6,5,5,50,1,z,normal,mean,1,10,14.454966605606895,66.0611983683279
0,2,haar_random,seeqst_uniform,6,5,5,50,1,z,normal,mean,1,30,4.543996047047238,22.937414656705066
0,2,haar_random,seeqst_uniform,6,5,5,50,1,z,normal,mean,1,100,3.2737980512997766,9.591821841895797
0,2,haar_random,seeqst_uniform,6,5,5,50,1,z,normal,mean,1,300,1.7972746008603169,5.0733600122095055
0,2,haar_random,seeqst_uniform,6,5,5,50,1,z,normal,mean,1,1000,0.7990089928305683,2.400867411105777
0,2,haar_random,seeqst_uniform,6,5,5,50,1,z,normal,mean,1,3000,0.4908704750164108,1.3390291934157221
0,2,haar_random,seeqst_uniform,6,5,5,50,1,z,normal,mean,1,4000,0.4732582666358789,1.4983340892034394
0,2,haar_random,seeqst_uniform,6,5,5,50,1,z,normal,mean,1,5000,0.43753039617421446,1.6952662811745838
0,2,haar_random,seeqst_uniform,6,5,5,50,1,z,normal,mean,1,6000,0.4573639521044877,1.7989094825922873
0,2,haar_random,seeqst_binomial_tuned,6,5,5,50,1,z,normal,mean,1,10,7.984207610349093,32.570776823469245
0,2,haar_random,seeqst_binomial_tuned,6,5,5,50,1,z,normal,mean,1,30,4.088324726329166,12.8839149172846
0,2,haar_random,seeqst_binomial_tuned,6,5,5,50,1,z,normal,mean,1,100,2.999023294342761,11.521432892196025
0,2,haar_random,seeqst_binomial_tuned,6,5,5,50,1,z,normal,mean,1,300,5.747058011017878,18.57873806995942
0,2,haar_random,seeqst_binomial_tuned,6,5,5,50,1,z,normal,mean,1,1000,2.275065683040999,6.317380244697096
