repeat,ensemble,n,estimator,mom_num_groups,n_sample,estimate,error,abs_error
0,pauli,10,mean,1,10,-8.999999999999995,-4.027864045000418,4.027864045000418
0,pauli,10,mean,1,30,6.4499999999999975,11.422135954999575,11.422135954999575
0,pauli,10,mean,1,100,-7.469999999999996,-2.4978640450004193,2.4978640450004193
0,pauli,10,mean,1,300,-5.834999999999997,-0.8628640450004204,0.8628640450004204
0,pauli,10,mean,1,1000,-4.65525,0.3168859549995773,0.3168859549995773
0,pauli,10,mean,1,3000,-4.68375,0.2883859549995771,0.2883859549995771
0,pauli,10,mean,1,10000,-3.53025,1.4418859549995768,1.4418859549995768
0,pauli,10,mean,1,20000,-4.8315375,0.14059845499957735,0.14059845499957735
0,pauli,10,mean,1,30000,-4.4148,0.5573359549995773,0.5573359549995773
0,pauli,10,mean,1,40000,-4.254075,0.7180609549995767,0.7180609549995767
0,pauli,10,mean,1,50000,-4.594635,0.3775009549995767,0.3775009549995767
0,pauli,10,mean,1,60000,-4.443375,0.5287609549995773,0.5287609549995773
0,pauli,10,mean,1,70000,-4.385925,0.5862109549995766,0.5862109549995766
0,pauli,10,mean,1,80000,-4.52784375,0.4442922049995772,0.4442922049995772
0,pauli,10,mean,1,90000,-4.275975,0.6961609549995771,0.6961609549995771
0,pauli,10,mean,1,100000,-4.3376175,0.6345184549995766,0.6345184549995766
0,clifford,10,mean,1,10,51.249999999999844,56.22213595499942,56.22213595499942
0,clifford,10,mean,1,30,17.08333333333327,22.055469288332848,22.055469288332848
0,clifford,10,mean,1,100,5.124999999999987,10.097135954999564,10.097135954999564
0,clifford,10,mean,1,300,-1.7083333333333235,3.2638026216662537,3.2638026216662537
0,clifford,10,mean,1,1000,-5.893749999999975,-0.921614045000398,0.921614045000398
0,clifford,10,mean,1,3000,-5.637499999999988,-0.6653640450004108,0.6653640450004108
0,clifford,10,mean,1,10000,-4.663749999999997,0.3083859549995802,0.3083859549995802
0,clifford,10,mean,1,20000,-4.804687499999998,0.16744845499957872,0.16744845499957872
0,clifford,10,mean,1,30000,-4.800416666666664,0.1717192883329126,0.1717192883329126
0,clifford,10,mean,1,40000,-4.919999999999998,0.05213595499957879,0.05213595499957879
0,clifford,10,mean,1,50000,-5.017374999999999,-0.04523904500042164,0.04523904500042164
0,clifford,10,mean,1,60000,-4.928541666666666,0.04359428833291101,0.04359428833291101
0,clifford,10,mean,1,70000,-4.923660714285713,0.048475240713863776,0.048475240713863776
0,clifford,10,mean,1,80000,-4.843125,0.12901095499957727,0.12901095499957727
0,clifford,10,mean,1,90000,-4.732083333333333,0.2400526216662442,0.2400526216662442
0,clifford,10,mean,1,100000,-4.863624999999999,0.10851095499957797,0.10851095499957797
0,seeqst_uniform,10,mean,1,10,0.0,4.972135954999577,4.972135954999577
0,seeqst_uniform,10,mean,1,30,-34.13333333333333,-29.161197378333757,29.161197378333757
0,seeqst_uniform,10,mean,1,100,0.0,4.972135954999577,4.972135954999577
0,seeqst_uniform,10,mean,1,300,-6.826666666666667,-1.8545307116670902,1.8545307116670902
0,seeqst_uniform,10,mean,1,1000,-4.096,0.8761359549995769,0.8761359549995769
0,seeqst_uniform,10,mean,1,3000,-7.168,-2.195864045000423,2.195864045000423
0,seeqst_uniform,10,mean,1,10000,-5.9392,-0.9670640450004226,0.9670640450004226
0,seeqst_uniform,10,mean,1,20000,-5.2224,-0.25026404500042343,0.25026404500042343
0,seeqst_uniform,10,mean,1,30000,-4.3008,0.6713359549995772,0.6713359549995772
0,seeqst_uniform,10,mean,1,40000,-4.2496,0.7225359549995769,0.7225359549995769
0,seeqst_uniform,10,mean,1,50000,-4.44416,0.5279759549995768,0.5279759549995768
0,seeqst_uniform,10,mean,1,60000,-4.471466666666666,0.5006692883329107,0.5006692883329107
0,seeqst_uniform,10,mean,1,70000,-4.608,0.3641359549995773,0.3641359549995773
0,seeqst_uniform,10,mean,1,80000,-4.8128,0.15933595499957676,0.15933595499957676
0,seeqst_uniform,10,mean,1,90000,-4.972088888888889,4.706611068794331e-05,4.706611068794331e-05
0,seeqst_uniform,10,mean,1,100000,-4.97664,-0.004504045000422785,0.004504045000422785
0,seeqst_binomial_q0.09091,10,mean,1,10,25.937424604112483,30.90956055911206,30.90956055911206
