ensemble,n_sample,abs_error_mean,abs_error_std,num_repeats
clifford,10,18.147890786499808,15.054197947563779,20
clifford,30,11.10416666666662,9.532413654035336,20
clifford,100,7.702786404500012,5.2820690193793975,20
clifford,300,3.6302083333333206,2.2134722553599446,20
clifford,1000,1.306874999999994,1.1493185278264875,20
clifford,3000,0.9420572378333736,0.6091739864649884,20
clifford,10000,0.4974793819998329,0.5088257589945775,20
clifford,20000,0.4025782864998738,0.30517588156952236,20
clifford,30000,0.33347938199983146,0.23918860952864818,20
clifford,40000,0.26461219449983137,0.23306222586578942,20
clifford,50000,0.2430231319998312,0.1909954987587952,20
clifford,60000,0.2363542743332489,0.2093619120483984,20
clifford,70000,0.23445706057125976,0.21975894601485635,20
clifford,80000,0.2545939114998733,0.22395722211706265,20
clifford,90000,0.2662849375553868,0.2122303232441339,20
clifford,100000,0.2401648524997889,0.1605001625072174,20
pauli,10,8.538749999999993,11.915257670882205,20
pauli,30,4.643177190999912,4.60429253096549,20
pauli,100,4.18278640450004,4.692392839718357,20
pauli,300,4.14528640450004,10.651740059031747,20
pauli,1000,3.1323010954999564,4.896176735693181,20
pauli,3000,2.32699188199983,2.228464662659154,20
pauli,10000,1.130222654500042,0.8053173176260077,20
pauli,20000,0.7441620295000423,0.4556813289046691,20
pauli,30000,0.7206240590000845,0.49125107259939393,20
pauli,40000,0.5893984340000845,0.45820420924909194,20
pauli,50000,0.504927,0.40988859288550406,20
pauli,60000,0.4485548385001268,0.3505114184911015,20
pauli,70000,0.4397527849286981,0.37053812718570217,20
pauli,80000,0.4315299965000845,0.40134499842983185,20
pauli,90000,0.404203904500042,0.3559698582874054,20
pauli,100000,0.38187152950004205,0.34427385120571496,20
seeqst_binomial_q0.09091,10,13.358251414644737,12.849795097867128,20
seeqst_binomial_q0.09091,30,7.975996937527993,6.347713017620498,20
seeqst_binomial_q0.09091,100,2.9177213961992488,2.7804091065169456,20
seeqst_binomial_q0.09091,300,2.680200542424957,1.7746573289671375,20
seeqst_binomial_q0.09091,1000,1.3184061267879168,0.7961314562390378,20
seeqst_binomial_q0.09091,3000,0.9640872383739808,0.7037020112005063,20
seeqst_binomial_q0.09091,10000,0.4930499392415456,0.32669583694396104,20
seeqst_binomial_q0.09091,20000,0.29684699043319296,0.20731134740446078,20
seeqst_binomial_q0.09091,30000,0.25167264258101585,0.19432481927685075,20
seeqst_binomial_q0.09091,40000,0.17683522639940635,0.16046924348568378,20
