ensemble,n_sample,abs_error_mean,abs_error_std,num_repeats
clifford,10,4.972135954999577,4.5288390936029406e-15,50
clifford,30,10.04355244939968,12.934812115500511,50
clifford,100,6.517198067399859,3.930629659986236,50
clifford,300,3.6693228090000667,3.020035830903616,50
clifford,1000,2.2756771909999114,1.8229086485810495,50
clifford,3000,1.276124999999995,1.1339997052243194,50
clifford,5000,0.8990640457418125,0.8051389222612985,50
clifford,10000,0.695228091236492,0.5108824779347447,50
clifford,15000,0.599943943799852,0.3985774593927148,50
clifford,20000,0.47657190375201125,0.31559856133040803,50
clifford,25000,0.478787771342131,0.3509083331324092,50
clifford,30000,0.38971262919990124,0.30320231151155586,50
clifford,35000,0.3488348752174748,0.23727948601754853,50
clifford,40000,0.3620670799888166,0.2542863462013867,50
clifford,45000,0.3356584194666008,0.21860671098114212,50
clifford,50000,0.33888598656928487,0.19821830569618515,50
pauli,10,3.102198067399881,2.364788896319542,50
pauli,30,3.200312629199897,3.6688898282870652,50
pauli,100,2.602979317399881,2.1151551390630337,50
pauli,300,2.1364689437998474,1.499760005149072,50
pauli,1000,1.553493248122773,1.2865770807539372,50
pauli,3000,1.2045030673998816,1.018351454231982,50
pauli,5000,1.0045783674457907,0.8103114587086705,50
pauli,10000,0.8685493759727173,0.6402694527267384,50
pauli,15000,0.7780041909999156,0.6428869977850046,50
pauli,20000,0.7558680354281954,0.712542324112176,50
pauli,25000,0.7452799274377458,0.6232639155901532,50
pauli,30000,0.7245373145999494,0.6623876780007755,50
pauli,35000,0.6016509628189629,0.4737866321016419,50
pauli,40000,0.5923924361490832,0.5093258612841003,50
pauli,45000,0.600798067399882,0.5212502571916575,50
pauli,50000,0.500269573042563,0.4062226797030576,50
seeqst_binomial_q0.09091,10,4.972135954999577,0.0,50
seeqst_binomial_q0.09091,30,5.61186206276411,3.165823204504155,50
seeqst_binomial_q0.09091,100,5.857694304271006,3.020086715173554,50
seeqst_binomial_q0.09091,300,3.1988216362333897,2.726394002407635,50
seeqst_binomial_q0.09091,1000,1.777005850859839,1.3222625273153146,50
seeqst_binomial_q0.09091,3000,0.9858132323669989,0.7195661388869793,50
seeqst_binomial_q0.09091,5000,0.7056370902474808,0.6742072502498936,50
seeqst_binomial_q0.09091,10000,0.51416020817958,0.40919946002514346,50
seeqst_binomial_q0.09091,15000,0.387300357852959,0.28369836638827206,50
seeqst_binomial_q0.09091,20000,0.345407925478469,0.28648921699655155,50
seeqst_binomial_q0.09091,25000,0.2549883624816779,0.23806926969520564,50
seeqst_binomial_q0.09091,30000,0.25304004710901845,0.2128166467256009,50
seeqst_binomial_q0.09091,35000,0.29096403784191865,0.2074642420421761,50
seeqst_binomial_q0.09091,40000,0.2898217811538561,0.21537264830500566,50
seeqst_binomial_q0.09091,45000,0.269467082691623,0.19064067472244814,50
seeqst_binomial_q0.09091,50000,0.23341409075500416,0.17900286427627993,50
seeqst_binomial_q0.5,10,4.972135954999577,0.0,50
seeqst_binomial_q0.5,30,4.972135954999577,0.0,50
seeqst_binomial_q0.5,100,5.413250516799594,3.1191509792892442,50
seeqst_binomial_q0.5,300,5.832737887599695,3.5133536045197116,50
seeqst_binomial_q0.5,1000,2.953524616229001,2.1749643288133194,50
