repeat,ensemble,n,estimator,mom_num_groups,n_sample,estimate,error,abs_error
0,pauli,10,mean,1,10,7.199999999999996,12.172135954999572,12.172135954999572
0,pauli,10,mean,1,30,16.649999999999988,21.622135954999564,21.622135954999564
0,pauli,10,mean,1,100,8.414999999999994,13.387135954999572,13.387135954999572
0,pauli,10,mean,1,300,-0.31500000000000095,4.657135954999576,4.657135954999576
0,pauli,10,mean,1,1000,-6.7072499999999975,-1.7351140450004205,1.7351140450004205
0,pauli,10,mean,1,3000,-3.7312499999999993,1.2408859549995777,1.2408859549995777
0,pauli,10,mean,1,5000,-5.668649999999999,-0.6965140450004217,0.6965140450004217
0,pauli,10,mean,1,10000,-5.923799999999999,-0.9516640450004221,0.9516640450004221
0,pauli,10,mean,1,15000,-5.210399999999999,-0.2382640450004221,0.2382640450004221
0,pauli,10,mean,1,20000,-4.569637499999999,0.40249845499957804,0.40249845499957804
0,pauli,10,mean,1,25000,-4.210559999999999,0.7615759549995778,0.7615759549995778
0,pauli,10,mean,1,30000,-4.29885,0.6732859549995771,0.6732859549995771
0,pauli,10,mean,1,35000,-4.329321428571427,0.6428145264281495,0.6428145264281495
0,pauli,10,mean,1,40000,-4.463324999999999,0.5088109549995776,0.5088109549995776
0,pauli,10,mean,1,45000,-4.793099999999999,0.17903595499957792,0.17903595499957792
0,pauli,10,mean,1,50000,-4.384214999999999,0.5879209549995776,0.5879209549995776
0,clifford,10,mean,1,10,-7.596665678455519e-15,4.972135954999569,4.972135954999569
0,clifford,10,mean,1,30,-1.8947806286936005e-15,4.972135954999575,4.972135954999575
0,clifford,10,mean,1,100,-2.5624999999999853,2.4096359549995916,2.4096359549995916
0,clifford,10,mean,1,300,-4.270833333333312,0.7013026216662652,0.7013026216662652
0,clifford,10,mean,1,1000,-3.587499999999987,1.38463595499959,1.38463595499959
0,clifford,10,mean,1,3000,-3.5020833333333186,1.4700526216662584,1.4700526216662584
0,clifford,10,mean,1,5000,-4.6124999999999865,0.35963595499959045,0.35963595499959045
0,clifford,10,mean,1,10000,-4.894374999999993,0.07776095499958391,0.07776095499958391
0,clifford,10,mean,1,15000,-5.0224999999999955,-0.05036404500041858,0.05036404500041858
0,clifford,10,mean,1,20000,-4.522812499999996,0.4493234549995808,0.4493234549995808
0,clifford,10,mean,1,25000,-4.479249999999997,0.4928859549995801,0.4928859549995801
0,clifford,10,mean,1,30000,-4.552708333333331,0.41942762166624625,0.41942762166624625
0,clifford,10,mean,1,35000,-4.627142857142855,0.3449930978567224,0.3449930978567224
0,clifford,10,mean,1,40000,-4.8367187499999975,0.13541720499957943,0.13541720499957943
0,clifford,10,mean,1,45000,-5.016805555555553,-0.04466960055597635,0.04466960055597635
0,clifford,10,mean,1,50000,-4.9148749999999986,0.057260954999578395,0.057260954999578395
0,seeqst_uniform,10,mean,1,10,0.0,4.972135954999577,4.972135954999577
0,seeqst_uniform,10,mean,1,30,0.0,4.972135954999577,4.972135954999577
0,seeqst_uniform,10,mean,1,100,0.0,4.972135954999577,4.972135954999577
0,seeqst_uniform,10,mean,1,300,-3.4133333333333336,1.5588026216662434,1.5588026216662434
0,seeqst_uniform,10,mean,1,1000,-1.024,3.948135954999577,3.948135954999577
0,seeqst_uniform,10,mean,1,3000,-2.7306666666666666,2.2414692883329104,2.2414692883329104
0,seeqst_uniform,10,mean,1,5000,-3.4816,1.4905359549995771,1.4905359549995771
0,seeqst_uniform,10,mean,1,10000,-3.4816,1.4905359549995771,1.4905359549995771
0,seeqst_uniform,10,mean,1,15000,-4.164266666666666,0.8078692883329106,0.8078692883329106
0,seeqst_uniform,10,mean,1,20000,-4.7616,0.21053595499957733,0.21053595499957733
0,seeqst_uniform,10,mean,1,25000,-4.83328,0.1388559549995767,0.1388559549995767
0,seeqst_uniform,10,mean,1,30000,-4.881066666666666,0.0910692883329105,0.0910692883329105
0,seeqst_uniform,10,mean,1,35000,-5.12,-0.14786404500042316,0.14786404500042316
0,seeqst_uniform,10,mean,1,40000,-5.0688,-0.09666404500042347,0.09666404500042347
0,seeqst_uniform,10,mean,1,45000,-5.279288888888889,-0.307152933889312,0.307152933889312
0,seeqst_uniform,10,mean,1,50000,-5.26336,-0.29122404500042265,0.29122404500042265
0,seeqst_binomial_q0.09091,10,mean,1,10,0.0,4.972135954999577,4.972135954999577
0,seeqst_binomial_q0.09091,10,mean,1,30,0.0,4.972135954999577,4.972135954999577
0,seeqst_binomial_q0.09091,10,mean,1,100,-7.7812273812337445,-2.8090914262341675,2.8090914262341675
0,seeqst_binomial_q0.09091,10,mean,1,300,-4.322904100685414,0.6492318543141629,0.6492318543141629
0,seeqst_binomial_q0.09091,10,mean,1,1000,-3.8906136906168736,1.0815222643827034,1.0815222643827034
0,seeqst_binomial_q0.09091,10,mean,1,3000,-5.619775330891039,-0.6476393758914618,0.6476393758914618
0,seeqst_binomial_q0.09091,10,mean,1,5000,-5.1874849208224845,-0.21534896582290752,0.21534896582290752
0,seeqst_binomial_q0.09091,10,mean,1,10000,-4.642799004136116,0.3293369508634614,0.3293369508634614
0,seeqst_binomial_q0.09091,10,mean,1,15000,-4.720611277948459,0.25152467705111814,0.25152467705111814
0,seeqst_binomial_q0.09091,10,mean,1,20000,-4.928110674781392,0.04402528021818508,0.04402528021818508
0,seeqst_binomial_q0.09091,10,mean,1,25000,-4.720611277948504,0.25152467705107284,0.25152467705107284
0,seeqst_binomial_q0.09091,10,mean,1,30000,-4.867590017371795,0.10454593762778153,0.10454593762778153
0,seeqst_binomial_q0.09091,10,mean,1,35000,-4.95775344575749,0.01438250924208706,0.01438250924208706
0,seeqst_binomial_q0.09091,10,mean,1,40000,-4.928110674781342,0.04402528021823482,0.04402528021823482
0,seeqst_binomial_q0.09091,10,mean,1,45000,-4.835888720633374,0.1362472343662029,0.1362472343662029
0,seeqst_binomial_q0.09091,10,mean,1,50000,-4.8399234311273345,0.13221252387224247,0.13221252387224247
0,seeqst_binomial_q0.5,10,mean,1,10,0.0,4.972135954999577,4.972135954999577
0,seeqst_binomial_q0.5,10,mean,1,30,-68.26666666666667,-63.294530711667086,63.294530711667086
