repeat,ensemble,n,estimator,mom_num_groups,n_sample,estimate,error,abs_error
0,pauli,10,mean,1,10,-14.399999999999997,-9.427864045000415,9.427864045000415
0,pauli,10,mean,1,30,-22.79999999999999,-17.82786404500041,17.82786404500041
0,pauli,10,mean,1,100,-14.309999999999995,-9.337864045000414,9.337864045000414
0,pauli,10,mean,1,300,-6.629999999999998,-1.6578640450004167,1.6578640450004167
0,pauli,10,mean,1,500,-4.311,0.6611359549995814,0.6611359549995814
0,pauli,10,mean,1,750,-5.193,-0.22086404500041823,0.22086404500041823
0,pauli,10,mean,1,1000,-8.048249999999998,-3.0761140450004163,3.0761140450004163
0,clifford,10,mean,1,10,4.605847200273413e-15,4.972135954999586,4.972135954999586
0,clifford,10,mean,1,30,-17.083333333333304,-12.111197378333722,12.111197378333722
0,clifford,10,mean,1,100,-7.687499999999985,-2.7153640450004035,2.7153640450004035
0,clifford,10,mean,1,300,-3.4166666666666576,1.5554692883329237,1.5554692883329237
0,clifford,10,mean,1,500,-5.1249999999999885,-0.15286404500040707,0.15286404500040707
0,clifford,10,mean,1,750,-3.7583333333333253,1.213802621666256,1.213802621666256
0,clifford,10,mean,1,1000,-2.8187499999999948,2.1533859549995866,2.1533859549995866
0,seeqst_uniform,10,mean,1,10,102.4,107.37213595499959,107.37213595499959
0,seeqst_uniform,10,mean,1,30,34.13333333333333,39.10546928833291,39.10546928833291
0,seeqst_uniform,10,mean,1,100,-20.48,-15.507864045000419,15.507864045000419
0,seeqst_uniform,10,mean,1,300,-17.066666666666666,-12.094530711667085,12.094530711667085
0,seeqst_uniform,10,mean,1,500,-12.288,-7.315864045000419,7.315864045000419
0,seeqst_uniform,10,mean,1,750,-10.922666666666666,-5.950530711667085,5.950530711667085
0,seeqst_uniform,10,mean,1,1000,-11.264,-6.291864045000418,6.291864045000418
0,seeqst_binomial_q0.09091,10,mean,1,10,-25.937424604112483,-20.9652886491129,20.9652886491129
0,seeqst_binomial_q0.09091,10,mean,1,30,-17.291616402741656,-12.319480447742075,12.319480447742075
0,seeqst_binomial_q0.09091,10,mean,1,100,-2.593742460411248,2.3783934945883334,2.3783934945883334
0,seeqst_binomial_q0.09091,10,mean,1,300,-6.916646561096663,-1.944510606097082,1.944510606097082
0,seeqst_binomial_q0.09091,10,mean,1,500,-7.262478889151497,-2.2903429341519157,2.2903429341519157
0,seeqst_binomial_q0.09091,10,mean,1,750,-10.72080216969983,-5.748666214700249,5.748666214700249
0,seeqst_binomial_q0.09091,10,mean,1,1000,-9.078098611439371,-4.1059626564397895,4.1059626564397895
0,seeqst_binomial_q0.5,10,mean,1,10,0.0,4.972135954999581,4.972135954999581
0,seeqst_binomial_q0.5,10,mean,1,30,0.0,4.972135954999581,4.972135954999581
