state_repeat,obs_repeat,state_type,ensemble,n,m,observable_type,rest_mode,l,num_observables,n_sample,rmse,max_error
0,0,haar_random,pauli,5,1,exact,random,1,5,10,0.7797823837374335,1.708079543657298
0,0,haar_random,pauli,5,1,exact,random,1,5,50,0.6099119356067463,1.348947815936199
0,0,haar_random,pauli,5,1,exact,random,1,5,200,0.6140773784592465,1.0410433073595566
0,0,haar_random,clifford,5,1,exact,random,1,5,10,1.9995579710058844,3.2801345968359197
0,0,haar_random,clifford,5,1,exact,random,1,5,50,1.019370475199971,1.493956692640441
0,0,haar_random,clifford,5,1,exact,random,1,5,200,0.6719805465693321,0.9989566926404415
0,0,haar_random,seeqst_uniform,5,1,exact,random,1,5,10,0.16199782268283505,0.2710521840638006
0,0,haar_random,seeqst_uniform,5,1,exact,random,1,5,50,1.2727887191550056,2.6519204563427015
0,0,haar_random,seeqst_uniform,5,1,exact,random,1,5,200,0.28576479854895565,0.46604330735955724
0,0,haar_random,seeqst_binomial_tuned,5,1,exact,random,1,5,10,1.5217126107535812,2.6153629426404423
0,0,haar_random,seeqst_binomial_tuned,5,1,exact,random,1,5,50,0.7186471617870218,1.1937915659361993
0,0,haar_random,seeqst_binomial_tuned,5,1,exact,random,1,5,200,0.27433430220407196,0.4180973176404427
0,0,haar_random,seeqst_binomial_untuned,5,1,exact,random,1,5,10,1.4352728201570937,2.3143633073595566
0,0,haar_random,seeqst_binomial_untuned,5,1,exact,random,1,5,50,0.7576165147443039,1.1692846926404425
0,0,haar_random,seeqst_binomial_untuned,5,1,exact,random,1,5,200,0.4421609512833538,0.8384164563427011
0,0,haar_random,seeqst_unifsize_tuned,5,1,exact,random,1,5,10,2.2126092360748237,4.091920456342701
0,0,haar_random,seeqst_unifsize_tuned,5,1,exact,random,1,5,50,0.8200843629419591,1.6919204563427015
0,0,haar_random,seeqst_unifsize_tuned,5,1,exact,random,1,5,200,0.3226123568627154,0.6260433073595573
