state_repeat,obs_repeat,state_type,ensemble,n,m,observable_type,rest_mode,l,num_observables,n_sample,rmse,max_error
0,0,haar_random,pauli,5,3,exact,z,3,50,50,2.2103949389725246,5.157871557400787
0,0,haar_random,pauli,5,3,exact,z,3,50,100,1.7359737556439183,4.8063970776550855
0,0,haar_random,pauli,5,3,exact,z,3,50,500,0.6365835047891908,1.5667927338853558
0,0,haar_random,pauli,5,3,exact,z,3,50,1000,0.5566956718838573,1.5585582422062991
0,0,haar_random,pauli,5,3,exact,z,3,50,1500,0.4484310958137333,1.153558242206299
0,0,haar_random,pauli,5,3,exact,z,3,50,2000,0.4151115293073417,0.8377927338853562
0,0,haar_random,pauli,5,3,exact,z,3,50,2500,0.35305231153098215,0.9267582422062994
0,0,haar_random,pauli,5,3,exact,z,3,50,3000,0.3271686979962915,0.9915582422062994
0,0,haar_random,pauli,5,3,exact,z,3,50,3500,0.2970420872898597,0.8989868136348709
0,0,haar_random,pauli,5,3,exact,z,3,50,4000,0.27821313844113754,0.8295582422062993
0,0,haar_random,pauli,5,3,exact,z,3,50,4500,0.2642694586872943,0.7215582422062993
0,0,haar_random,pauli,5,3,exact,z,3,50,5000,0.25608986175628495,0.4893582422062993
0,0,haar_random,clifford,5,3,exact,z,3,50,50,0.7546970303850601,1.8557631923916496
0,0,haar_random,clifford,5,3,exact,z,3,50,100,0.47534286076870724,1.1867371460718807
0,0,haar_random,clifford,5,3,exact,z,3,50,500,0.26763371531638613,0.6814360229858323
0,0,haar_random,clifford,5,3,exact,z,3,50,1000,0.2000313127017817,0.4138382079881263
0,0,haar_random,clifford,5,3,exact,z,3,50,1500,0.17265914817149788,0.3817631923916523
0,0,haar_random,clifford,5,3,exact,z,3,50,2000,0.15958699741316174,0.33853219471928786
0,0,haar_random,clifford,5,3,exact,z,3,50,2500,0.15045552649131452,0.3214382079881264
0,0,haar_random,clifford,5,3,exact,z,3,50,3000,0.1340754129007945,0.3146435587436631
0,0,haar_random,clifford,5,3,exact,z,3,50,3500,0.12123781629131304,0.29421498731509177
0,0,haar_random,clifford,5,3,exact,z,3,50,4000,0.11802299325983705,0.29539355874366324
0,0,haar_random,clifford,5,3,exact,z,3,50,4500,0.10954163075062408,0.2596435587436633
0,0,haar_random,clifford,5,3,exact,z,3,50,5000,0.09520101132531023,0.21583820798812664
0,0,haar_random,seeqst_uniform,5,3,exact,z,3,50,50,1.2685822575916328,3.805072291284928
0,0,haar_random,seeqst_uniform,5,3,exact,z,3,50,100,0.9132648592128717,2.5250722912849284
0,0,haar_random,seeqst_uniform,5,3,exact,z,3,50,500,0.38964111976725363,0.8510637618299196
0,0,haar_random,seeqst_uniform,5,3,exact,z,3,50,1000,0.22934672318335228,0.7791459994228283
0,0,haar_random,seeqst_uniform,5,3,exact,z,3,50,1500,0.20392765512667096,0.5658126660894949
0,0,haar_random,seeqst_uniform,5,3,exact,z,3,50,2000,0.1804817395811875,0.42714599942282827
0,0,haar_random,seeqst_uniform,5,3,exact,z,3,50,2500,0.17067949227037993,0.4207459994228282
0,0,haar_random,seeqst_uniform,5,3,exact,z,3,50,3000,0.1495230726065645,0.32689157553963283
0,0,haar_random,seeqst_uniform,5,3,exact,z,3,50,3500,0.1393265154810388,0.2781296707777281
0,0,haar_random,seeqst_uniform,5,3,exact,z,3,50,4000,0.12970034601036273,0.2991459994228282
0,0,haar_random,seeqst_uniform,5,3,exact,z,3,50,4500,0.1133793805580676,0.2557804644285217
0,0,haar_random,seeqst_uniform,5,3,exact,z,3,50,5000,0.10866409030916971,0.2543459994228282
