state_repeat,obs_repeat,state_type,ensemble,n,m,observable_type,rest_mode,l,num_observables,n_sample,rmse,max_error
0,0,haar_random,pauli,6,5,exact,z,5,50,10,0.1286889265761334,0.2847232648577813
0,0,haar_random,pauli,6,5,exact,z,5,50,50,0.12868892657613343,0.2847232648577813
0,0,haar_random,pauli,6,5,exact,z,5,50,100,1.7722992578119983,7.337845336933762
0,0,haar_random,pauli,6,5,exact,z,5,50,200,1.4458051793280584,3.7435955003108026
0,0,haar_random,pauli,6,5,exact,z,5,50,400,1.241375033478643,3.6928453369337655
0,0,haar_random,pauli,6,5,exact,z,5,50,600,0.9356558826951259,2.466800958737304
0,0,haar_random,pauli,6,5,exact,z,5,50,800,0.6911643941376153,1.9938977152432922
0,0,haar_random,pauli,6,5,exact,z,5,50,1000,0.7527427859319826,2.3583977152432913
0,0,haar_random,clifford,6,5,exact,z,5,50,10,2.255112096266657,6.660957242799892
0,0,haar_random,clifford,6,5,exact,z,5,50,50,0.9304935959598885,2.760957242799899
0,0,haar_random,clifford,6,5,exact,z,5,50,100,0.6536071681078057,1.887964389688542
0,0,haar_random,clifford,6,5,exact,z,5,50,200,0.5277323297238685,1.536037543804043
0,0,haar_random,clifford,6,5,exact,z,5,50,400,0.37261479913548673,0.877078074293783
0,0,haar_random,clifford,6,5,exact,z,5,50,600,0.2680266652376821,0.7145780742937834
0,0,haar_random,clifford,6,5,exact,z,5,50,800,0.2351385290260643,0.5762993452727503
0,0,haar_random,clifford,6,5,exact,z,5,50,1000,0.21284571273273056,0.47304142138083516
0,0,haar_random,seeqst_uniform,6,5,exact,z,5,50,10,4.809824717985286,12.99452201556728
0,0,haar_random,seeqst_uniform,6,5,exact,z,5,50,50,1.472612828054358,2.7545220155672805
0,0,haar_random,seeqst_uniform,6,5,exact,z,5,50,100,1.1780258673814923,2.6220356103114546
0,0,haar_random,seeqst_uniform,6,5,exact,z,5,50,200,0.6023592263621981,1.3687993452727512
0,0,haar_random,seeqst_uniform,6,5,exact,z,5,50,400,0.41782247618915747,0.9156594684771026
0,0,haar_random,seeqst_uniform,6,5,exact,z,5,50,600,0.3657132177379145,0.8555149408483227
0,0,haar_random,seeqst_uniform,6,5,exact,z,5,50,800,0.35809184143755707,1.0155149408483228
0,0,haar_random,seeqst_uniform,6,5,exact,z,5,50,1000,0.32792587717277183,1.1115149408483227
0,0,haar_random,seeqst_binomial_tuned,6,5,exact,z,5,50,10,1.8345089925502827,3.222021543804045
0,0,haar_random,seeqst_binomial_tuned,6,5,exact,z,5,50,50,0.8554394837345429,2.2999878547272488
0,0,haar_random,seeqst_binomial_tuned,6,5,exact,z,5,50,100,0.5271630747914386,1.694180750535757
0,0,haar_random,seeqst_binomial_tuned,6,5,exact,z,5,50,200,0.4434573981267819,0.9531320441956234
0,0,haar_random,seeqst_binomial_tuned,6,5,exact,z,5,50,400,0.29794824871130793,0.632180420404536
0,0,haar_random,seeqst_binomial_tuned,6,5,exact,z,5,50,600,0.23636165196661435,0.6072972204045363
0,0,haar_random,seeqst_binomial_tuned,6,5,exact,z,5,50,800,0.22003353689828037,0.49071065057451585
0,0,haar_random,seeqst_binomial_tuned,6,5,exact,z,5,50,1000,0.1824476026500973,0.3765145919852017
