state_repeat,obs_repeat,state_type,ensemble,n,m,observable_type,rest_mode,l,num_observables,n_sample,rmse,max_error
0,0,haar_random,pauli,4,2,exact,z,2,5,10,3.5679282622537465,7.963356227423144
0,0,haar_random,pauli,4,2,exact,z,2,5,50,0.787700888145673,1.6890660207522112
0,0,haar_random,pauli,4,2,exact,z,2,5,200,0.6504796843786036,1.1912543569981193
0,0,haar_random,pauli,4,2,exact,z,2,5,800,0.4456209039118467,0.6964245384908778
0,0,haar_random,clifford,4,2,exact,z,2,5,10,0.9665518408384579,1.7278405743109437
0,0,haar_random,clifford,4,2,exact,z,2,5,50,0.5478491096689084,0.950933979247787
0,0,haar_random,clifford,4,2,exact,z,2,5,200,0.22111841768153398,0.3121594256890541
0,0,haar_random,clifford,4,2,exact,z,2,5,800,0.1478457575444174,0.23906602075221178
0,0,haar_random,seeqst_uniform,4,2,exact,z,2,5,10,1.970667240372369,3.1309339792477884
0,0,haar_random,seeqst_uniform,4,2,exact,z,2,5,50,0.6846552061999823,1.0651745384908782
0,0,haar_random,seeqst_uniform,4,2,exact,z,2,5,200,0.3683336915376427,0.5709339792477881
0,0,haar_random,seeqst_uniform,4,2,exact,z,2,5,800,0.19447036117523708,0.37482546150912177
0,0,haar_random,seeqst_binomial_tuned,4,2,exact,z,2,5,10,2.0575075771606746,3.336643772576852
0,0,haar_random,seeqst_binomial_tuned,4,2,exact,z,2,5,50,0.40842352603065846,0.6678405743109456
0,0,haar_random,seeqst_binomial_tuned,4,2,exact,z,2,5,200,0.3486631995355173,0.42874564300188
0,0,haar_random,seeqst_binomial_tuned,4,2,exact,z,2,5,800,0.1710595374704812,0.3078405743109456
0,0,haar_random,seeqst_binomial_untuned,4,2,exact,z,2,5,10,3.5957195003161804,8.027325461509118
0,0,haar_random,seeqst_binomial_untuned,4,2,exact,z,2,5,50,1.7876546473688821,2.6962543569981188
0,0,haar_random,seeqst_binomial_untuned,4,2,exact,z,2,5,200,0.7643515654289125,1.5243793569981192
0,0,haar_random,seeqst_binomial_untuned,4,2,exact,z,2,5,800,0.278708450181316,0.3620347707522118
0,0,haar_random,seeqst_unifsize_tuned,4,2,exact,z,2,5,10,2.309144835294125,3.7366437725768518
0,0,haar_random,seeqst_unifsize_tuned,4,2,exact,z,2,5,50,0.7315117042092923,0.9348254615091218
0,0,haar_random,seeqst_unifsize_tuned,4,2,exact,z,2,5,200,0.515638056611844,0.7548254615091219
0,0,haar_random,seeqst_unifsize_tuned,4,2,exact,z,2,5,800,0.25728182249673387,0.3948254615091218
0,1,haar_random,pauli,4,2,exact,z,2,5,10,4.9729336547025715,8.002432497121323
0,1,haar_random,pauli,4,2,exact,z,2,5,50,1.2382485350216457,1.5394922343341886
0,1,haar_random,pauli,4,2,exact,z,2,5,200,0.24944676944561225,0.44280335420988415
0,1,haar_random,pauli,4,2,exact,z,2,5,800,0.22919213855632892,0.32449223433418906
0,1,haar_random,clifford,4,2,exact,z,2,5,10,0.2598429097684287,0.4094444913357114
0,1,haar_random,clifford,4,2,exact,z,2,5,50,0.22991934209985387,0.30219664579011546
0,1,haar_random,clifford,4,2,exact,z,2,5,200,0.34679263762682544,0.5794444913357111
0,1,haar_random,clifford,4,2,exact,z,2,5,800,0.14359432191658777,0.19993249712132677
0,1,haar_random,seeqst_uniform,4,2,exact,z,2,5,10,1.261518683510955,2.790555508664289
0,1,haar_random,seeqst_uniform,4,2,exact,z,2,5,50,0.7874031976272279,1.1824324971213271
0,1,haar_random,seeqst_uniform,4,2,exact,z,2,5,200,0.23243655615013795,0.4094444913357114
0,1,haar_random,seeqst_uniform,4,2,exact,z,2,5,800,0.1112262640557063,0.20219664579011565
0,1,haar_random,seeqst_binomial_tuned,4,2,exact,z,2,5,10,2.83014938305163,6.302432497121328
0,1,haar_random,seeqst_binomial_tuned,4,2,exact,z,2,5,50,0.9469821547080113,1.2421966457901157
0,1,haar_random,seeqst_binomial_tuned,4,2,exact,z,2,5,200,0.5941407430236219,1.1824324971213271
0,1,haar_random,seeqst_binomial_tuned,4,2,exact,z,2,5,800,0.300275297173517,0.622432497121327
0,1,haar_random,seeqst_binomial_untuned,4,2,exact,z,2,5,10,3.486604954085138,7.774696645790113
0,1,haar_random,seeqst_binomial_untuned,4,2,exact,z,2,5,50,1.1297595091259753,1.9719444913357107
0,1,haar_random,seeqst_binomial_untuned,4,2,exact,z,2,5,200,0.49197281006836746,0.7811591031964567
0,1,haar_random,seeqst_binomial_untuned,4,2,exact,z,2,5,800,0.2804801250070786,0.4094444913357114
0,1,haar_random,seeqst_unifsize_tuned,4,2,exact,z,2,5,10,1.5871424427604583,3.502432497121327
0,1,haar_random,seeqst_unifsize_tuned,4,2,exact,z,2,5,50,0.9572565044280192,2.062432497121327
0,1,haar_random,seeqst_unifsize_tuned,4,2,exact,z,2,5,200,0.37281129786618955,0.622432497121327
0,1,haar_random,seeqst_unifsize_tuned,4,2,exact,z,2,5,800,0.17837089647172027,0.27949223433418924
0,0,ghz,pauli,4,2,exact,z,2,5,10,0.0,0.0
0,0,ghz,pauli,4,2,exact,z,2,5,50,1.0245779618945543,1.6199999999999992
