state_repeat,obs_repeat,state_type,ensemble,n,m,observable_type,rest_mode,l,num_observables,n_sample,rmse,max_error
0,0,haar_random,pauli,6,1,exact,random,1,10,10,0.664899716580534,1.831808031094303
0,0,haar_random,pauli,6,1,exact,random,1,10,30,1.579737555418593,2.9200377805783284
0,0,haar_random,pauli,6,1,exact,random,1,10,100,0.4224534374437393,1.0300377805783296
0,0,haar_random,pauli,6,1,exact,random,1,10,300,0.3577897034955711,0.7745732993053513
0,0,haar_random,pauli,6,1,exact,random,1,10,1000,0.17452956773042316,0.35534731953505316
0,0,haar_random,pauli,6,1,exact,random,1,10,3000,0.16732987446444103,0.35942670069464816
0,0,haar_random,clifford,6,1,exact,random,1,10,10,0.13810132354329013,0.2965057851838992
0,0,haar_random,clifford,6,1,exact,random,1,10,30,0.6270300751093005,1.946628886088333
0,0,haar_random,clifford,6,1,exact,random,1,10,100,0.6600099346312721,1.7299622194216666
0,0,haar_random,clifford,6,1,exact,random,1,10,300,0.5225256512089039,0.9465057851838976
0,0,haar_random,clifford,6,1,exact,random,1,10,1000,0.19218781583456113,0.3885463326168289
0,0,haar_random,clifford,6,1,exact,random,1,10,3000,0.1474427367877063,0.3235463326168291
0,0,haar_random,seeqst_uniform,6,1,exact,random,1,10,10,4.008565967222462,12.669347319535055
0,0,haar_random,seeqst_uniform,6,1,exact,random,1,10,30,1.9126325960891977,4.395212999283496
0,0,haar_random,seeqst_uniform,6,1,exact,random,1,10,100,0.7362514753001835,1.4085463326168295
0,0,haar_random,seeqst_uniform,6,1,exact,random,1,10,300,0.4480285191544602,0.8278581211914774
0,0,haar_random,seeqst_uniform,6,1,exact,random,1,10,1000,0.35409168044754274,0.5421240492019588
0,0,haar_random,seeqst_uniform,6,1,exact,random,1,10,3000,0.21392166847182179,0.48019196890569643
0,0,haar_random,seeqst_binomial_tuned,6,1,exact,random,1,10,10,1.3989585005964984,3.116636680464946
0,0,haar_random,seeqst_binomial_tuned,6,1,exact,random,1,10,30,0.4465043035265075,1.030754700694648
0,0,haar_random,seeqst_binomial_tuned,6,1,exact,random,1,10,100,0.624401118189116,1.5231160492019584
0,0,haar_random,seeqst_binomial_tuned,6,1,exact,random,1,10,300,0.3275024915731125,0.5294720310943034
0,0,haar_random,seeqst_binomial_tuned,6,1,exact,random,1,10,1000,0.15168943794797338,0.3077053726168294
0,0,haar_random,seeqst_binomial_tuned,6,1,exact,random,1,10,3000,0.1137881310357998,0.21812585261682943
0,0,haar_random,seeqst_binomial_untuned,6,1,exact,random,1,10,10,1.9241237332918248,3.245989426668864
0,0,haar_random,seeqst_binomial_untuned,6,1,exact,random,1,10,30,1.433067680028505,2.90089897278426
0,0,haar_random,seeqst_binomial_untuned,6,1,exact,random,1,10,100,0.5518871466945343,1.3844294904284373
0,0,haar_random,seeqst_binomial_untuned,6,1,exact,random,1,10,300,0.2969291032632515,0.4766439966012772
0,0,haar_random,seeqst_binomial_untuned,6,1,exact,random,1,10,1000,0.18621620030298547,0.33908831100081493
0,0,haar_random,seeqst_binomial_untuned,6,1,exact,random,1,10,3000,0.09945951110457296,0.1674559858158109
0,0,haar_random,seeqst_unifsize_tuned,6,1,exact,random,1,10,10,1.8239216071992206,4.768191968905696
0,0,haar_random,seeqst_unifsize_tuned,6,1,exact,random,1,10,30,1.3359078559768731,2.374524787858144
0,0,haar_random,seeqst_unifsize_tuned,6,1,exact,random,1,10,100,0.5445866388260608,1.143494214816101
0,0,haar_random,seeqst_unifsize_tuned,6,1,exact,random,1,10,300,0.33694733569434604,0.6599622194216699
0,0,haar_random,seeqst_unifsize_tuned,6,1,exact,random,1,10,1000,0.14417548863176596,0.3079622194216699
0,0,haar_random,seeqst_unifsize_tuned,6,1,exact,random,1,10,3000,0.05535583015165945,0.12534731953505346
0,1,haar_random,pauli,6,1,exact,random,1,10,10,0.32006535783567874,0.6826448963352721
0,1,haar_random,pauli,6,1,exact,random,1,10,30,0.646151385855872,1.0580882651348071
0,1,haar_random,pauli,6,1,exact,random,1,10,100,0.4770108240305061,0.7020048059397206
0,1,haar_random,pauli,6,1,exact,random,1,10,300,0.2762018177054013,0.7020048059397206
0,1,haar_random,pauli,6,1,exact,random,1,10,1000,0.2372117710197716,0.5448476689895849
0,1,haar_random,pauli,6,1,exact,random,1,10,3000,0.09899373674644077,0.22544229509613048
0,1,haar_random,clifford,6,1,exact,random,1,10,10,2.922894181197039,6.717355103664715
0,1,haar_random,clifford,6,1,exact,random,1,10,30,1.5577050249739424,2.38402177033139
0,1,haar_random,clifford,6,1,exact,random,1,10,100,0.8037592632769485,1.5173551036647255
0,1,haar_random,clifford,6,1,exact,random,1,10,300,0.5890325619512384,1.1920048059397186
0,1,haar_random,clifford,6,1,exact,random,1,10,1000,0.20756693667653303,0.3941853963290486
0,1,haar_random,clifford,6,1,exact,random,1,10,3000,0.12534284963022924,0.24251872966238236
0,1,haar_random,seeqst_uniform,6,1,exact,random,1,10,10,0.12752844540198147,0.21735510366472757
0,1,haar_random,seeqst_uniform,6,1,exact,random,1,10,30,1.9093708901132307,4.411330872508024
0,1,haar_random,seeqst_uniform,6,1,exact,random,1,10,100,0.8283761730857756,1.4246642058413572
0,1,haar_random,seeqst_uniform,6,1,exact,random,1,10,300,0.8222643429571851,1.8315001294530784
0,1,haar_random,seeqst_uniform,6,1,exact,random,1,10,1000,0.3496078014696456,0.5855577049038695
0,1,haar_random,seeqst_uniform,6,1,exact,random,1,10,3000,0.1925305566429653,0.34669154878408703
0,1,haar_random,seeqst_binomial_tuned,6,1,exact,random,1,10,10,2.039596420097531,5.787815668989584
