state_repeat,obs_repeat,state_type,ensemble,n,m,observable_type,rest_mode,l,num_observables,n_sample,rmse,max_error
0,0,haar_random,pauli,6,2,at_least,random,2,10,10,23.01953120116244,72.79353984248563
0,0,haar_random,pauli,6,2,at_least,random,2,10,30,7.651248881870919,24.193539842485663
0,0,haar_random,pauli,6,2,at_least,random,2,10,100,4.024743530260293,7.427360622831729
0,0,haar_random,pauli,6,2,at_least,random,2,10,300,1.7211594811155575,2.567360622831731
0,0,haar_random,pauli,6,2,at_least,random,2,10,1000,0.8671555339727617,1.5953606228317314
0,0,haar_random,pauli,6,2,at_least,random,2,10,3000,0.2824040026317246,0.42142849371025937
0,0,haar_random,clifford,6,2,at_least,random,2,10,10,4.086829235813938,6.641576263487151
0,0,haar_random,clifford,6,2,at_least,random,2,10,30,1.5147473870800088,2.308242930153825
0,0,haar_random,clifford,6,2,at_least,random,2,10,100,0.6285618065919425,1.1735803514471896
0,0,haar_random,clifford,6,2,at_least,random,2,10,300,0.5387026296170507,0.9459727105015994
0,0,haar_random,clifford,6,2,at_least,random,2,10,1000,0.27203990351820556,0.4476393771682669
0,0,haar_random,clifford,6,2,at_least,random,2,10,3000,0.11097810092510901,0.1954284937102591
0,0,haar_random,seeqst_uniform,6,2,at_least,random,2,10,10,0.10002908502362837,0.141576263487162
0,0,haar_random,seeqst_uniform,6,2,at_least,random,2,10,30,0.10002908502362837,0.141576263487162
0,0,haar_random,seeqst_uniform,6,2,at_least,random,2,10,100,0.10002908502362837,0.141576263487162
0,0,haar_random,seeqst_uniform,6,2,at_least,random,2,10,300,0.7129923528580225,1.30672626024452
0,0,haar_random,seeqst_uniform,6,2,at_least,random,2,10,1000,0.3568169070778304,0.8744601575143288
0,0,haar_random,seeqst_uniform,6,2,at_least,random,2,10,3000,0.22857772849355823,0.33197271050160126
0,0,haar_random,seeqst_binomial_tuned,6,2,at_least,random,2,10,10,0.10002908502362837,0.141576263487162
0,0,haar_random,seeqst_binomial_tuned,6,2,at_least,random,2,10,30,0.9251197254165716,2.911080351447191
0,0,haar_random,seeqst_binomial_tuned,6,2,at_least,random,2,10,100,0.9964191410880451,1.9489196485528075
0,0,haar_random,seeqst_binomial_tuned,6,2,at_least,random,2,10,300,0.4085140995811462,0.7139601575143286
0,0,haar_random,seeqst_binomial_tuned,6,2,at_least,random,2,10,1000,0.4049582532160208,0.8354601575143287
0,0,haar_random,seeqst_binomial_tuned,6,2,at_least,random,2,10,3000,0.1377577244471859,0.2769296641925803
0,0,haar_random,seeqst_binomial_untuned,6,2,at_least,random,2,10,10,8.162688407709425,18.282129525096014
0,0,haar_random,seeqst_binomial_untuned,6,2,at_least,random,2,10,30,1.955907733277951,6.178322940733877
