state_type,ensemble,n_sample,rmse_mean,rmse_std,max_error_mean,max_error_std,num_state_repeats,num_observable_repeats
ghz,clifford,10,2.6208340608166734,1.6560418445183622,6.4999999999999885,4.110960958218886,2,3
ghz,clifford,30,1.6751628346377025,0.6942908737573334,3.9722222222222148,1.6310074142030058,2,3
ghz,clifford,100,0.7672169755586499,0.14266651638545907,1.4083333333333306,0.26536138880151067,2,3
ghz,clifford,300,0.45676735592770384,0.15117197404692073,0.7944444444444431,0.26239636402178207,2,3
ghz,clifford,1000,0.20450182779364845,0.05042621257707284,0.38999999999999924,0.10069756700139279,2,3
ghz,clifford,3000,0.14032947117914163,0.03587866404159949,0.2672222222222217,0.08845379626717013,2,3
ghz,pauli,10,7.684334714209157,11.904520149926237,24.299999999999983,37.64539812513607,2,3
ghz,pauli,30,3.4989988102641143,5.705051164619325,8.099999999999996,12.548466041712025,2,3
ghz,pauli,100,2.8486649327951956,0.943901330010462,7.289999999999996,8.881784197001252e-16,2,3
ghz,pauli,300,1.4263366447956791,0.52433818367119,2.8349999999999986,0.9920433458271862,2,3
ghz,pauli,1000,0.6589425394253904,0.10195428231683455,1.3364999999999991,0.2976130037481559,2,3
ghz,pauli,3000,0.5063119962650181,0.09423605958314649,0.8504999999999995,0.13309658147375522,2,3
ghz,seeqst_binomial_tuned,10,1.4408127589142172,2.4109408822076075,4.556249999999999,7.624064491791762,2,3
ghz,seeqst_binomial_tuned,30,0.9983340341597863,0.9131288860209685,3.037499999999999,2.716822592662244,2,3
ghz,seeqst_binomial_tuned,100,1.1734400043149642,0.7570042635467489,2.4299999999999997,1.3719281595623003,2,3
ghz,seeqst_binomial_tuned,300,0.6646534943293668,0.3118950207536421,1.6199999999999999,0.7357190360456906,2,3
ghz,seeqst_binomial_tuned,1000,0.5201394133384362,0.18094214912600354,1.2757500000000002,0.5527916198713582,2,3
ghz,seeqst_binomial_tuned,3000,0.30256600382489535,0.07080489960320638,0.6176250000000001,0.1819121869199533,2,3
ghz,seeqst_binomial_untuned,10,1.9137798582363663,2.964815007702655,6.051903292181069,9.375568265390047,2,3
ghz,seeqst_binomial_untuned,30,2.578104688232057,4.53783732156525,8.06920438957476,14.149896922000973,2,3
