state_repeat,obs_repeat,state_type,ensemble,n,m,rest_mode,num_observables,estimator,mom_num_groups,n_sample,rmse,max_error
0,0,haar_random,pauli,6,5,random,50,mean,1,100,1.1725545744235528,7.184573181505256
0,0,haar_random,pauli,6,5,random,50,mean,1,500,0.665020011263424,1.643363786566861
0,0,haar_random,pauli,6,5,random,50,mean,1,1000,0.606940024805381,2.0894888995645604
0,0,haar_random,pauli,6,5,random,50,mean,1,2000,0.4320728328395563,1.724988899564561
0,0,haar_random,pauli,6,5,random,50,mean,1,3000,0.3375587557330279,1.1174888995645615
0,0,haar_random,pauli,6,5,random,50,mean,1,4000,0.3351349115052822,0.9959888995645614
0,0,haar_random,pauli,6,5,random,50,mean,1,5000,0.2928821223535832,0.7772888995645616
0,0,haar_random,pauli,6,5,random,50,mean,1,6000,0.26755785379007396,0.6314888995645618
0,0,haar_random,clifford,6,5,random,50,mean,1,100,0.8467373074115405,2.955677132653363
0,0,haar_random,clifford,6,5,random,50,mean,1,500,0.37825268847016014,0.934499533294443
0,0,haar_random,clifford,6,5,random,50,mean,1,1000,0.2643629013357061,0.5120768517480033
0,0,haar_random,clifford,6,5,random,50,mean,1,2000,0.18133403002510146,0.3346362134331367
0,0,haar_random,clifford,6,5,random,50,mean,1,3000,0.1527177709116869,0.3574888995645616
0,0,haar_random,clifford,6,5,random,50,mean,1,4000,0.13892447946334452,0.38338621343313645
0,0,haar_random,clifford,6,5,random,50,mean,1,5000,0.11191371124900666,0.2956362134331367
0,0,haar_random,clifford,6,5,random,50,mean,1,6000,0.09618804922518778,0.2588028800998035
0,0,haar_random,seeqst_uniform,6,5,random,50,mean,1,100,0.7374344294690854,1.4210762267971633
0,0,haar_random,seeqst_uniform,6,5,random,50,mean,1,500,0.48528792864565695,1.1723898604607572
0,0,haar_random,seeqst_uniform,6,5,random,50,mean,1,1000,0.3528984218465779,0.9866459225743625
0,0,haar_random,seeqst_uniform,6,5,random,50,mean,1,2000,0.19844860495269145,0.47839578338476485
0,0,haar_random,seeqst_uniform,6,5,random,50,mean,1,3000,0.17717345773855356,0.5423957833847649
0,0,haar_random,seeqst_uniform,6,5,random,50,mean,1,4000,0.1687894565148198,0.5423957833847649
0,0,haar_random,seeqst_uniform,6,5,random,50,mean,1,5000,0.13104540476840448,0.3375957833847648
0,0,haar_random,seeqst_uniform,6,5,random,50,mean,1,6000,0.1336149619456092,0.3155827466331709
0,0,haar_random,seeqst_binomial_tuned,6,5,random,50,mean,1,100,0.524121528391995,1.3954808995645622
0,0,haar_random,seeqst_binomial_tuned,6,5,random,50,mean,1,500,0.226660533314089,0.510963582219262
0,0,haar_random,seeqst_binomial_tuned,6,5,random,50,mean,1,1000,0.147054192906213,0.31001072261864193
0,0,haar_random,seeqst_binomial_tuned,6,5,random,50,mean,1,2000,0.11846056207951094,0.27769823857343184
0,0,haar_random,seeqst_binomial_tuned,6,5,random,50,mean,1,3000,0.095026555105409,0.20027645377370146
0,0,haar_random,seeqst_binomial_tuned,6,5,random,50,mean,1,4000,0.08209041081432862,0.19778813377370147
0,0,haar_random,seeqst_binomial_tuned,6,5,random,50,mean,1,5000,0.07320594732058176,0.17760432536682907
0,0,haar_random,seeqst_binomial_tuned,6,5,random,50,mean,1,6000,0.07161839145636796,0.16864637336682908
0,1,haar_random,pauli,6,5,random,50,mean,1,100,1.175759127131955,7.452339573962718
0,1,haar_random,pauli,6,5,random,50,mean,1,500,0.7746843928731231,1.6862083387900848
0,1,haar_random,pauli,6,5,random,50,mean,1,1000,0.680990844811355,2.0894888995645604
0,1,haar_random,pauli,6,5,random,50,mean,1,2000,0.5372066202291743,1.724988899564561
0,1,haar_random,pauli,6,5,random,50,mean,1,3000,0.4192367695882177,1.1174888995645615
0,1,haar_random,pauli,6,5,random,50,mean,1,4000,0.34800540562469434,0.9959888995645614
0,1,haar_random,pauli,6,5,random,50,mean,1,5000,0.3240025367582446,0.7772888995645616
0,1,haar_random,pauli,6,5,random,50,mean,1,6000,0.30585672086122745,0.6482617943827019
0,1,haar_random,clifford,6,5,random,50,mean,1,100,0.7825226725832927,2.00917395648954
0,1,haar_random,clifford,6,5,random,50,mean,1,500,0.322879823388463,0.6824888995645608
0,1,haar_random,clifford,6,5,random,50,mean,1,1000,0.27497527048881815,0.5762276266851142
0,1,haar_random,clifford,6,5,random,50,mean,1,2000,0.20121105965633368,0.5115524295406376
0,1,haar_random,clifford,6,5,random,50,mean,1,3000,0.1458090172185272,0.3574888995645616
0,1,haar_random,clifford,6,5,random,50,mean,1,4000,0.12264033178287741,0.2867174726946832
0,1,haar_random,clifford,6,5,random,50,mean,1,5000,0.11036671267522831,0.23022353415119068
