state_repeat,obs_repeat,state_type,ensemble,n,m,rest_mode,num_observables,estimator,mom_num_groups,n_sample,rmse,max_error
0,0,haar_random,pauli,6,5,z,50,mean,1,100,2.061529647313194,7.336641760399514
0,0,haar_random,pauli,6,5,z,50,mean,1,500,1.159023542986918,2.8791990412626918
0,0,haar_random,pauli,6,5,z,50,mean,1,1000,0.8442612494534308,2.090315585211109
0,0,haar_random,pauli,6,5,z,50,mean,1,2000,0.6757461425483239,1.5634265303435204
0,0,haar_random,pauli,6,5,z,50,mean,1,3000,0.6013995721360372,1.68492653034352
0,0,haar_random,pauli,6,5,z,50,mean,1,4000,0.5035067056609538,1.1989265303435204
0,0,haar_random,pauli,6,5,z,50,mean,1,5000,0.4809272143799357,1.0915735844992889
0,0,haar_random,pauli,6,5,z,50,mean,1,6000,0.4913487738256385,1.1989265303435201
0,0,haar_random,clifford,6,5,z,50,mean,1,100,0.9107670973710208,2.955677132653363
0,0,haar_random,clifford,6,5,z,50,mean,1,500,0.370598349886687,0.816089237701766
0,0,haar_random,clifford,6,5,z,50,mean,1,1000,0.24082507223418106,0.5084440522707488
0,0,haar_random,clifford,6,5,z,50,mean,1,2000,0.16716554241913503,0.36505224815649684
0,0,haar_random,clifford,6,5,z,50,mean,1,3000,0.12014849296229377,0.36505224815649684
0,0,haar_random,clifford,6,5,z,50,mean,1,4000,0.10652138156809282,0.2809440522707493
0,0,haar_random,clifford,6,5,z,50,mean,1,5000,0.10115388727031634,0.23544405227074938
0,0,haar_random,clifford,6,5,z,50,mean,1,6000,0.08783229541084273,0.21594405227074945
0,0,haar_random,seeqst_uniform,6,5,z,50,mean,1,100,0.8768609114180981,1.422885808759764
0,0,haar_random,seeqst_uniform,6,5,z,50,mean,1,500,0.4776927430449112,1.2439107622982322
0,0,haar_random,seeqst_uniform,6,5,z,50,mean,1,1000,0.3748700655551089,0.7935499662727311
0,0,haar_random,seeqst_uniform,6,5,z,50,mean,1,2000,0.2016441022997599,0.41191076229823215
0,0,haar_random,seeqst_uniform,6,5,z,50,mean,1,3000,0.1743060098239732,0.3969249138170594
0,0,haar_random,seeqst_uniform,6,5,z,50,mean,1,4000,0.16494432056530944,0.39221098067400945
0,0,haar_random,seeqst_uniform,6,5,z,50,mean,1,5000,0.16010279318835424,0.35381098067400946
0,0,haar_random,seeqst_uniform,6,5,z,50,mean,1,6000,0.14397087778076537,0.30621049516419374
0,0,haar_random,seeqst_binomial_tuned,6,5,z,50,mean,1,100,0.495421597061299,1.0315780554499008
0,0,haar_random,seeqst_binomial_tuned,6,5,z,50,mean,1,500,0.2157245391798159,0.5387076524439433
0,0,haar_random,seeqst_binomial_tuned,6,5,z,50,mean,1,1000,0.19060622584927958,0.41109664126269435
